#k-distance eigenvalue[eV]
3.28449075 -20.61450000
3.30301785 -20.61520000
3.32154496 -20.61580000
3.34007207 -20.61640000
3.35859916 -20.61690000
3.37712627 -20.61740000
3.39565336 -20.61770000
3.41418047 -20.61800000
3.43270758 -20.61820000
3.45123467 -20.61830000
3.46976178 -20.61840000
3.46976178 -20.61840000
3.48045842 -20.61840000
3.49115505 -20.61840000
3.50185166 -20.61840000
3.51254830 -20.61840000
3.52324493 -20.61850000
3.53394156 -20.61850000
3.54463818 -20.61860000
3.55533481 -20.61860000
3.56603144 -20.61870000
3.57672807 -20.61870000
3.58742469 -20.61880000
3.59812132 -20.61890000
3.60881795 -20.61900000
3.61951458 -20.61910000
3.63021120 -20.61920000
3.64090783 -20.61930000
3.65160447 -20.61940000
3.66230110 -20.61950000
3.67299771 -20.61960000
3.68369435 -20.61980000
3.69439098 -20.61990000
3.70508761 -20.62000000
3.71578423 -20.62010000
3.72648086 -20.62030000
3.73717749 -20.62040000
3.74787412 -20.62050000
3.75857074 -20.62060000
3.76926737 -20.62070000
3.77996400 -20.62090000
3.79066063 -20.62100000
3.80135725 -20.62110000
3.81205388 -20.62120000
3.82275051 -20.62130000
3.83344715 -20.62140000
3.84414378 -20.62150000
3.85484040 -20.62160000
3.86553703 -20.62170000
3.87623366 -20.62170000
3.88693029 -20.62180000
3.89762691 -20.62190000
3.90832354 -20.62190000
3.91902017 -20.62190000
3.92971680 -20.62190000
3.94041342 -20.62200000
3.94041342 -20.62200000
3.96180666 -20.62190000
3.98319992 -20.62180000
4.00459318 -20.62170000
4.02598645 -20.62150000
4.04737968 -20.62120000
4.06877294 -20.62090000
4.09016621 -20.62050000
4.11155947 -20.62000000
4.13295271 -20.61940000
4.15434597 -20.61880000
4.17573923 -20.61810000
4.19713250 -20.61730000
4.21852576 -20.61650000
4.23991899 -20.61560000
4.26131226 -20.61460000
4.28270552 -20.61360000
4.30409878 -20.61250000
4.32549202 -20.61130000
4.34688528 -20.61010000
4.36827855 -20.60890000
4.38967181 -20.60770000
4.41106504 -20.60640000
4.43245831 -20.60510000
4.45385157 -20.60380000
4.47524483 -20.60250000
4.49663807 -20.60120000
4.51803133 -20.59990000
4.53942460 -20.59860000
4.56081786 -20.59740000
4.58221109 -20.59620000
4.60360436 -20.59500000
4.62499762 -20.59390000
4.64639088 -20.59290000
4.66778412 -20.59190000
4.68917738 -20.59100000
4.71057065 -20.59020000
4.73196391 -20.58940000
4.75335714 -20.58880000
4.77475041 -20.58820000
4.79614367 -20.58780000
4.81753693 -20.58740000
4.83893017 -20.58720000
4.86032343 -20.58700000
4.88171670 -20.58700000

0.00000000 -20.58680000
0.01852711 -20.58680000
0.03705420 -20.58690000
0.05558131 -20.58710000
0.07410842 -20.58740000
0.09263551 -20.58780000
0.11116262 -20.58820000
0.12968972 -20.58870000
0.14821683 -20.58920000
0.16674394 -20.58990000
0.18527103 -20.59060000
0.20379814 -20.59130000
0.22232525 -20.59210000
0.24085234 -20.59300000
0.25937945 -20.59390000
0.27790656 -20.59490000
0.29643365 -20.59590000
0.31496076 -20.59690000
0.33348786 -20.59800000
0.35201497 -20.59910000
0.37054208 -20.60020000
0.38906917 -20.60130000
0.40759628 -20.60240000
0.42612339 -20.60360000
0.44465048 -20.60470000
0.46317759 -20.60580000
0.48170470 -20.60690000
0.50023179 -20.60800000
0.51875890 -20.60900000
0.53728600 -20.61000000
0.55581311 -20.61100000
0.57434022 -20.61200000
0.59286731 -20.61280000
0.61139442 -20.61370000
0.62992153 -20.61450000
0.64844862 -20.61520000
0.66697573 -20.61580000
0.68550284 -20.61640000
0.70402993 -20.61690000
0.72255704 -20.61740000
0.74108414 -20.61770000
0.75961125 -20.61800000
0.77813835 -20.61820000
0.79666545 -20.61830000
0.81519256 -20.61840000
0.81519256 -20.61840000
0.82588919 -20.61840000
0.83658582 -20.61840000
0.84728244 -20.61840000
0.85797907 -20.61850000
0.86867570 -20.61850000
0.87937233 -20.61850000
0.89006895 -20.61860000
0.90076558 -20.61860000
0.91146221 -20.61870000
0.92215885 -20.61880000
0.93285546 -20.61880000
