#k-distance eigenvalue[eV]
0.00000000 -41.72710644
0.01860983 -41.72710644
0.03721963 -41.72710644
0.05582946 -41.72710644
0.07443929 -41.72700644
0.09304909 -41.72700644
0.11165892 -41.72690644
0.13026873 -41.72680644
0.14887855 -41.72680644
0.16748838 -41.72670644
0.18609819 -41.72650644
0.20470801 -41.72640644
0.22331784 -41.72630644
0.24192765 -41.72620644
0.26053747 -41.72600644
0.27914730 -41.72590644
0.29775711 -41.72570644
0.31636693 -41.72560644
0.33497674 -41.72540644
0.35358657 -41.72520644
0.37219639 -41.72510644
0.39080620 -41.72490644
0.40941603 -41.72470644
0.42802585 -41.72460644
0.44663566 -41.72440644
0.46524549 -41.72420644
0.48385531 -41.72410644
0.50246512 -41.72390644
0.52107495 -41.72370644
0.53968476 -41.72360644
0.55829458 -41.72340644
0.57690441 -41.72330644
0.59551422 -41.72320644
0.61412404 -41.72300644
0.63273387 -41.72290644
0.65134368 -41.72280644
0.66995350 -41.72270644
0.68856333 -41.72260644
0.70717314 -41.72260644
0.72578296 -41.72250644
0.74439277 -41.72240644
0.76300260 -41.72240644
0.78161242 -41.72230644
0.80022223 -41.72230644
0.81883206 -41.72230644
0.81883206 -41.72230644
0.82957645 -41.72230644
0.84032083 -41.72230644
0.85106521 -41.72230644
0.86180960 -41.72230644
0.87255398 -41.72230644
0.88329837 -41.72230644
0.89404275 -41.72230644
0.90478714 -41.72230644
0.91553152 -41.72230644
0.92627591 -41.72230644
0.93702029 -41.72230644
0.94776467 -41.72220644
0.95850906 -41.72220644
0.96925345 -41.72220644
0.97999782 -41.72220644
0.99074221 -41.72220644
1.00148660 -41.72220644
1.01223099 -41.72210644
1.02297536 -41.72210644
1.03371975 -41.72210644
1.04446414 -41.72210644
1.05520853 -41.72210644
1.06595290 -41.72200644
1.07669729 -41.72200644
1.08744168 -41.72200644
1.09818606 -41.72200644
1.10893044 -41.72200644
1.11967483 -41.72190644
1.13041921 -41.72190644
1.14116360 -41.72190644
1.15190798 -41.72190644
1.16265236 -41.72190644
1.17339675 -41.72180644
1.18414114 -41.72180644
1.19488553 -41.72180644
1.20562990 -41.72180644
1.21637429 -41.72180644
1.22711868 -41.72180644
1.23786307 -41.72180644
1.24860744 -41.72170644
