#k-distance eigenvalue[eV]
4.22698186 -15.82150000
4.24876975 -15.76130000
4.27055766 -15.70350000
4.29234557 -15.64900000
4.31413347 -15.59860000
4.33592138 -15.55340000
4.35770927 -15.51440000
4.37949718 -15.48260000
4.40128509 -15.45890000
4.42307298 -15.44420000
4.44486089 -15.43900000

0.00000000 -17.14100000
0.01398078 -17.14110000
0.02796155 -17.14140000
0.04194233 -17.14190000
0.05592312 -17.14250000
0.06990389 -17.14340000
0.08388467 -17.14450000
0.09786544 -17.14570000
0.11184622 -17.14710000
0.12582700 -17.14870000
0.13980778 -17.15040000
0.15378856 -17.15220000
0.16776934 -17.15420000
0.18175011 -17.15640000
0.19573089 -17.15860000
0.20971167 -17.16090000
0.22369245 -17.16330000
0.23767323 -17.16580000
0.25165400 -17.16840000
0.26563478 -17.17090000
0.27961556 -17.17360000
0.29359633 -17.17630000
0.30757712 -17.17890000
0.32155790 -17.18160000
0.33553867 -17.18430000
0.34951945 -17.18690000
0.36350023 -17.18940000
0.37748100 -17.19190000
0.39146179 -17.19440000
0.40544256 -17.19670000
0.41942334 -17.19900000
0.43340412 -17.20120000
0.44738489 -17.20320000
0.46136567 -17.20510000
0.47534646 -17.20690000
0.48932723 -17.20860000
0.50330801 -17.21010000
0.51728879 -17.21140000
0.53126956 -17.21260000
0.54525034 -17.21350000
0.55923111 -17.21440000
0.57321190 -17.21500000
0.58719268 -17.21550000
0.60117345 -17.21570000
0.61515423 -17.21580000
0.61515423 -17.21580000
0.62913501 -17.21570000
0.64311578 -17.21550000
0.65709657 -17.21500000
0.67107735 -17.21440000
0.68505812 -17.21350000
0.69903890 -17.21260000
0.71301967 -17.21140000
0.72700045 -17.21010000
0.74098124 -17.20860000
0.75496201 -17.20690000
0.76894279 -17.20510000
0.78292357 -17.20320000
0.79690434 -17.20120000
0.81088512 -17.19900000
0.82486591 -17.19670000
0.83884668 -17.19440000
0.85282746 -17.19190000
0.86680823 -17.18940000
0.88078901 -17.18690000
0.89476979 -17.18430000
0.90875056 -17.18160000
0.92273135 -17.17890000
0.93671213 -17.17630000
0.95069290 -17.17360000
0.96467368 -17.17090000
0.97865446 -17.16840000
0.99263523 -17.16580000
1.00661602 -17.16330000
1.02059679 -17.16090000
1.03457757 -17.15860000
1.04855835 -17.15640000
1.06253912 -17.15420000
1.07651990 -17.15220000
1.09050069 -17.15040000
1.10448146 -17.14870000
1.11846224 -17.14710000
1.13244302 -17.14570000
1.14642379 -17.14450000
1.16040457 -17.14340000
1.17438534 -17.14250000
1.18836613 -17.14190000
1.20234691 -17.14140000
1.21632768 -17.14110000
1.23030846 -17.14100000
1.23030846 -17.14100000
1.25642007 -17.13850000
1.28253168 -17.13260000
1.30864326 -17.12310000
1.33475487 -17.11010000
1.36086648 -17.09360000
1.38697810 -17.07360000
1.41308968 -17.05020000
1.43920129 -17.02340000
1.46531290 -16.99320000
1.49142451 -16.95970000
1.51753609 -16.92280000
1.54364770 -16.88270000
1.56975931 -16.83950000
1.59587092 -16.79300000
1.62198250 -16.74360000
1.64809411 -16.69120000
1.67420572 -16.63580000
1.70031734 -16.57770000
1.72642892 -16.51690000
1.75254052 -16.45350000
1.77865214 -16.38770000
1.80476375 -16.31960000
1.83087533 -16.24930000
1.85698694 -16.17710000
1.88309855 -16.10310000
1.90921016 -16.02750000
1.93532174 -15.95070000
1.96143335 -15.87280000
1.98754496 -15.79410000
2.01365658 -15.71520000
2.03976815 -15.63620000
2.06587976 -15.55770000
2.09199138 -15.48020000
2.11810299 -15.40430000
2.14421460 -15.33080000
2.17032618 -15.26040000
2.19643779 -15.19420000
2.22254940 -15.13330000
2.24866101 -15.07890000
2.27477259 -15.03250000
2.30088420 -14.99530000
2.32699581 -14.96840000
2.35310742 -14.95250000
2.37921900 -14.94740000
2.37921900 -14.94740000
2.40437748 -14.95270000
2.42953599 -14.96890000
2.45469451 -14.99600000
2.47985302 -15.03350000
2.50501150 -15.08020000
2.53017001 -15.13500000
2.55532852 -15.19640000
2.58048703 -15.26310000
2.60564551 -15.33410000
2.63080402 -15.40840000
2.65596253 -15.48510000
2.68112104 -15.56350000
2.70627955 -15.64300000
2.73143803 -15.72300000
2.75659654 -15.80320000
2.78175506 -15.88300000
2.80691357 -15.96220000
2.83207205 -16.04030000
2.85723056 -16.11720000
2.88238907 -16.19260000
2.90754758 -16.26630000
2.93270606 -16.33800000
2.95786457 -16.40750000
2.98302308 -16.47480000
3.00818159 -16.53950000
3.03334007 -16.60170000
3.05849858 -16.66120000
3.08365710 -16.71780000
3.10881561 -16.77150000
3.13397409 -16.82220000
3.15913260 -16.86980000
3.18429111 -16.91420000
3.20944962 -16.95530000
3.23460810 -16.99310000
3.25976661 -17.02750000
3.28492512 -17.05840000
3.31008363 -17.08590000
3.33524211 -17.11000000
3.36040062 -17.13040000
3.38555913 -17.14740000
3.41071765 -17.16070000
3.43587612 -17.17040000
3.46103464 -17.17650000
3.48619315 -17.17890000
3.48619315 -17.17890000
3.50798106 -17.17700000
3.52976895 -17.17240000
3.55155686 -17.16500000
3.57334477 -17.15490000
3.59513266 -17.14210000
3.61692057 -17.12670000
3.63870846 -17.10850000
3.66049637 -17.08770000
3.68228428 -17.06430000
3.70407217 -17.03820000
3.72586008 -17.00960000
