#k-distance eigenvalue[eV]
0.00000000 -40.43719590
0.01644167 -40.43719590
0.03288333 -40.43719590
0.04932500 -40.43719590
0.06576669 -40.43709590
0.08220835 -40.43709590
0.09865002 -40.43709590
0.11509169 -40.43699590
0.13153336 -40.43699590
0.14797502 -40.43689590
0.16441671 -40.43679590
0.18085837 -40.43679590
0.19730004 -40.43669590
0.21374171 -40.43659590
0.23018338 -40.43649590
0.24662504 -40.43649590
0.26306673 -40.43639590
0.27950839 -40.43629590
0.29595006 -40.43619590
0.31239173 -40.43609590
0.32883340 -40.43599590
0.34527506 -40.43589590
0.36171675 -40.43569590
0.37815842 -40.43559590
0.39460008 -40.43549590
0.41104175 -40.43539590
0.42748342 -40.43529590
0.44392509 -40.43519590
0.46036677 -40.43509590
0.47680844 -40.43499590
0.49325010 -40.43489590
0.50969177 -40.43479590
0.52613344 -40.43469590
0.54257511 -40.43459590
0.55901679 -40.43449590
0.57545846 -40.43439590
0.59190012 -40.43429590
0.60834179 -40.43419590
0.62478346 -40.43419590
0.64122513 -40.43409590
0.65766681 -40.43399590
0.67410848 -40.43399590
0.69055015 -40.43389590
0.70699181 -40.43389590
0.72343348 -40.43379590
0.73987515 -40.43379590
0.75631683 -40.43379590
0.77275850 -40.43379590
0.78920017 -40.43379590
0.80564183 -40.43379590
0.80564183 -40.43379590
0.81513444 -40.43379590
0.82462704 -40.43379590
0.83411964 -40.43379590
0.84361224 -40.43379590
0.85310485 -40.43379590
0.86259745 -40.43369590
0.87209006 -40.43369590
0.88158266 -40.43369590
0.89107526 -40.43369590
0.90056786 -40.43369590
0.91006046 -40.43369590
0.91955306 -40.43369590
0.92904566 -40.43369590
0.93853828 -40.43369590
0.94803088 -40.43369590
0.95752348 -40.43369590
0.96701608 -40.43369590
0.97650868 -40.43359590
0.98600128 -40.43359590
0.99549388 -40.43359590
1.00498649 -40.43359590
1.01447909 -40.43359590
1.02397170 -40.43359590
1.03346430 -40.43359590
1.04295690 -40.43359590
1.05244951 -40.43349590
1.06194211 -40.43349590
1.07143471 -40.43349590
1.08092731 -40.43349590
1.09041991 -40.43349590
1.09991251 -40.43349590
1.10940511 -40.43349590
1.11889773 -40.43339590
1.12839033 -40.43339590
1.13788293 -40.43339590
1.14737553 -40.43339590
1.15686813 -40.43339590
1.16636073 -40.43339590
1.17585333 -40.43339590
1.18534594 -40.43339590
1.19483854 -40.43339590
1.20433115 -40.43339590
1.21382375 -40.43339590
1.22331635 -40.43329590
1.23280895 -40.43329590
1.24230156 -40.43329590
1.25179416 -40.43329590
1.26128676 -40.43329590
1.27077936 -40.43329590
1.27077936 -40.43329590
1.28976456 -40.43329590
1.30874976 -40.43329590
1.32773497 -40.43339590
1.34672017 -40.43339590
1.36570537 -40.43339590
1.38469057 -40.43339590
1.40367578 -40.43349590
1.42266101 -40.43349590
1.44164621 -40.43359590
1.46063141 -40.43359590
1.47961661 -40.43369590
1.49860181 -40.43369590
1.51758702 -40.43379590
1.53657222 -40.43389590
1.55555742 -40.43399590
1.57454262 -40.43409590
1.59352785 -40.43419590
1.61251306 -40.43429590
1.63149826 -40.43439590
1.65048346 -40.43449590
1.66946866 -40.43459590
1.68845386 -40.43469590
1.70743907 -40.43489590
1.72642427 -40.43499590
1.74540947 -40.43509590
1.76439467 -40.43519590
1.78337990 -40.43539590
1.80236511 -40.43549590
1.82135031 -40.43559590
1.84033551 -40.43569590
1.85932071 -40.43589590
1.87830591 -40.43599590
1.89729112 -40.43609590
1.91627632 -40.43619590
1.93526152 -40.43629590
1.95424675 -40.43649590
1.97323195 -40.43659590
1.99221716 -40.43659590
2.01120236 -40.43669590
2.03018756 -40.43679590
2.04917276 -40.43689590
2.06815797 -40.43699590
2.08714317 -40.43699590
2.10612837 -40.43709590
2.12511360 -40.43709590
2.14409880 -40.43709590
2.16308400 -40.43719590
2.18206921 -40.43719590
2.20105441 -40.43719590
2.20105441 -40.43719590
2.20969889 -40.43719590
2.21834338 -40.43719590
2.22698787 -40.43719590
2.23563236 -40.43719590
2.24427685 -40.43719590
2.25292133 -40.43719590
2.26156582 -40.43719590
2.27021030 -40.43719590
2.27885479 -40.43719590
2.28749928 -40.43719590
2.29614377 -40.43719590
2.30478825 -40.43719590
2.31343274 -40.43719590
2.32207723 -40.43719590
2.33072171 -40.43719590
2.33936621 -40.43719590
2.34801069 -40.43719590
2.35665518 -40.43719590
2.36529966 -40.43719590
2.37394415 -40.43719590
2.38258863 -40.43719590
2.39123313 -40.43719590
2.39987761 -40.43719590
2.40852210 -40.43719590
2.41716659 -40.43719590
2.42581107 -40.43719590
2.43445556 -40.43719590
2.44310005 -40.43719590
2.45174454 -40.43719590
2.46038902 -40.43719590
2.46903351 -40.43719590
2.47767799 -40.43719590
2.48632248 -40.43719590
2.49496697 -40.43719590
2.50361146 -40.43719590
2.51225595 -40.43719590
2.52090043 -40.43719590
2.52954492 -40.43719590
2.53818940 -40.43719590
2.54683390 -40.43719590
2.55547838 -40.43719590
2.56412287 -40.43719590
2.57276735 -40.43719590
2.58141184 -40.43719590
2.59005633 -40.43719590
2.59870082 -40.43719590
2.60734531 -40.43719590
2.61598979 -40.43719590
2.62463428 -40.43719590
2.62463428 -40.43719590
2.64107595 -40.43719590
2.65751761 -40.43719590
2.67395928 -40.43719590
2.69040096 -40.43709590
2.70684263 -40.43709590
2.72328430 -40.43709590
2.73972597 -40.43699590
2.75616763 -40.43699590
2.77260930 -40.43689590
2.78905098 -40.43679590
2.80549265 -40.43679590
2.82193432 -40.43669590
2.83837599 -40.43659590
